document	topic	gamma
129_1829	2	0.03560371517027864
13_1820	2	0.04716981132075472
130_1834	2	0.046875
131_1827	2	0.009202453987730062
132_1827	2	0.04090909090909091
133_1828	2	0.04891304347826087
134_1830	2	0.0673076923076923
135_1830	2	0.016129032258064516
136_1830	2	0.007692307692307693
137_1830	2	0.20588235294117646
138_1826	2	0.004464285714285714
139_1826	2	0.005263157894736842
14_1820	2	0.09154929577464789
142_1826	2	0.002242152466367713
143_1826	2	0.11016949152542373
146_1825	2	0.023109243697478993
147_1825	2	0.0625
148_1825	2	0.015527950310559006
149_1825	2	0.02
15_1820	2	0.23394495412844038
150_1825	2	0.1524390243902439
152_1815	2	0.0011135857461024498
154_1815	2	0.047325102880658436
155_1816	2	8.865248226950354e-4
156_1826	2	0.0029069767441860465
157_1826	2	0.07894736842105263
16_1820	2	0.004310344827586207
160_1826	2	0.03333333333333333
161_1826	2	0.03571428571428571
162_1815	2	0.014893617021276596
17_1821	2	0.0015105740181268882
18_1821	2	0.004807692307692308
19_1822	2	0.010638297872340425
2_1821	2	0.30272108843537415
20_1822	2	0.007075471698113208
200_1816	2	0.003289473684210526
201_1816	2	0.038527397260273974
202_1816	2	0.006
205_1815	2	0.11842105263157894
206_1816	2	0.0030864197530864196
209_1818	2	0.0078125
21_1822	2	0.085
210_1818	2	0.025925925925925925
211_1818	2	0.008684863523573201
212_1820	2	0.07708333333333334
214_1824	2	0.006818181818181818
215_1824	2	0.06111111111111111
216_1815	2	0.003676470588235294
217_1829	2	0.004166666666666667
218_1829	2	0.07291666666666667
219_1829	2	0.07303370786516854
22_1823	2	0.0078125
220_1829	2	0.029411764705882353
221_1829	2	0.01650943396226415
222_1829	2	0.01937984496124031
224_1829	2	0.016129032258064516
226_1829	2	0.00684931506849315
227_1825	2	0.0012224938875305623
228_1829	2	0.0603448275862069
229_1830	2	0.0048543689320388345
23_1823	2	0.002840909090909091
230_1830	2	0.026881720430107527
232_1831	2	0.10491071428571429
236_1830	2	0.05952380952380952
239_1824	2	0.0022123893805309734
24_1823	2	0.016891891891891893
240_1825	2	0.025547445255474453
242_1825	2	0.013157894736842105
243_1825	2	0.017766497461928935
245_1821	2	0.00663716814159292
248_1823	2	0.045454545454545456
249_1824	2	0.13800904977375567
25_1823	2	0.010067114093959731
250_1818	2	0.026984126984126985
251_1818	2	0.002512562814070352
252_1818	2	0.07589285714285714
253_1818	2	0.03197674418604651
254_1818	2	0.03125
255_1819	2	0.00980392156862745
256_1819	2	0.0031446540880503146
257_1819	2	0.04106280193236715
258_1819	2	0.0016181229773462784
259_1819	2	0.008823529411764706
26_1823	2	0.008333333333333333
260_1819	2	0.08663366336633663
261_1820	2	0.003978779840848806
262_1820	2	0.01485148514851485
263_1820	2	0.006756756756756757
264_1820	2	0.005208333333333333
265_1820	2	0.008021390374331552
266_1820	2	0.07435897435897436
267_1820	2	0.03865979381443299
268_1820	2	0.0017857142857142857
269_1820	2	0.03038674033149171
27_1823	2	0.01020408163265306
270_1820	2	0.164
271_1820	2	0.008152173913043478
272_1820	2	0.006024096385542169
273_1820	2	0.01744186046511628
274_1820	2	0.005535055350553505
275_1820	2	0.013157894736842105
276_1821	2	0.07142857142857142
277_1821	2	0.01937984496124031
278_1821	2	0.0031446540880503146
279_1821	2	0.0012376237623762376
28_1823	2	0.07446808510638298
280_1821	2	0.006666666666666667
281_1821	2	0.024429967426710098
282_1821	2	0.01984126984126984
283_1821	2	0.08064516129032258
284_1821	2	0.036585365853658534
285_1821	2	0.011574074074074073
286_1821	2	0.06073446327683616
287_1821	2	0.002688172043010753
288_1821	2	0.012
289_1821	2	0.0026455026455026454
29_1820	2	0.006578947368421052
290_1818	2	0.0017985611510791368
291_1819	2	0.004464285714285714
292_1819	2	0.01282051282051282
293_1822	2	0.0020920502092050207
294_1822	2	0.09405940594059406
295_1822	2	0.0023923444976076554
296_1822	2	0.003355704697986577
297_1822	2	0.007142857142857143
298_1822	2	0.005154639175257732
299_1822	2	0.050335570469798654
3_1819	2	0.011568123393316195
30_1820	2	0.007692307692307693
300_1822	2	0.07857142857142857
301_1822	2	0.015957446808510637
302_1822	2	0.08620689655172414
303_1822	2	0.013966480446927373
304_1822	2	0.0058823529411764705
305_1822	2	0.006024096385542169
306_1822	2	0.005319148936170213
307_1823	2	0.005016722408026756
308_1823	2	0.012626262626262626
309_1823	2	0.0017064846416382253
31_1820	2	0.018292682926829267
310_1823	2	0.005434782608695652
311_1823	2	0.008064516129032258
312_1823	2	0.003401360544217687
313_1824	2	0.017361111111111112
314_1824	2	0.03195488721804511
316_1831	2	0.2776332899869961
317_1831	2	0.008620689655172414
318_1831	2	0.013157894736842105
319_1831	2	0.005681818181818182
32_1820	2	0.0625
323_1831	2	0.02631578947368421
326_1827	2	0.13135593220338984
327_1835	2	0.014563106796116505
328_1832	2	0.038461538461538464
329_1832	2	0.031914893617021274
33_1820	2	0.03125
330_1832	2	0.045454545454545456
331_1830	2	0.007352941176470588
332_1828	2	0.003205128205128205
333_1820	2	0.012195121951219513
334_1820	2	0.0234375
335_1820	2	0.00273224043715847
336_1825	2	0.014563106796116505
337_1825	2	0.00423728813559322
338_1825	2	0.007575757575757576
339_1821	2	0.02415966386554622
34_1821	2	0.0047169811320754715
341_1822	2	0.01201923076923077
343_1823	2	0.003105590062111801
344_1816	2	0.010679611650485437
345_1816	2	0.023985239852398525
346_1817	2	0.003246753246753247
347_1817	2	0.042134831460674156
349_1817	2	0.09593023255813954
35_1821	2	0.0023923444976076554
350_1817	2	0.0043859649122807015
351_1817	2	0.015586034912718205
352_1818	2	0.040697674418604654
353_1818	2	0.00980392156862745
354_1818	2	0.002
355_1821	2	0.0026041666666666665
356_1825	2	0.022727272727272728
357_1826	2	0.0273109243697479
358_1827	2	0.01282051282051282
359_1829	2	0.022058823529411766
36_1821	2	0.04326923076923077
360_1831	2	0.2565217391304348
362_1830	2	0.03488372093023256
363_1831	2	0.10283687943262411
364_1828	2	0.008333333333333333
365_1828	2	0.003067484662576687
366_1828	2	0.008928571428571428
367_1827	2	0.018367346938775512
368_1827	2	0.0078125
369_1828	2	0.0010570824524312897
37_1821	2	0.0040650406504065045
370_1829	2	0.0125
371_1829	2	0.006493506493506494
373_1830	2	0.004761904761904762
374_1830	2	0.22023809523809523
375_1829	2	0.006097560975609756
376_1829	2	0.004310344827586207
377_1830	2	0.017241379310344827
378_1830	2	0.012711864406779662
379_1830	2	0.014150943396226415
38_1821	2	0.02112676056338028
380_1830	2	0.005434782608695652
381_1830	2	0.015555555555555555
382_1830	2	0.015306122448979591
383_1825	2	0.1392857142857143
386_1825	2	0.0030303030303030303
387_1826	2	0.017045454545454544
389_1826	2	0.02100840336134454
39_1821	2	0.009615384615384616
390_1826	2	0.011111111111111112
392_1826	2	0.022151898734177215
393_1826	2	0.12864077669902912
394_1826	2	0.025179856115107913
395_1830	2	0.05
396_1830	2	0.11274509803921569
397_1825	2	0.038306451612903226
398_1831	2	0.003703703703703704
399_1831	2	0.07894736842105263
4_1819	2	0.0035714285714285713
40_1822	2	0.04794520547945205
400_1832	2	0.024475524475524476
401_1832	2	0.015957446808510637
403_1833	2	0.02336448598130841
405_1833	2	0.06043956043956044
406_1833	2	0.013636363636363636
407_1833	2	0.006756756756756757
408_1833	2	0.005555555555555556
409_1827	2	0.00625
41_1822	2	0.011194029850746268
410_1834	2	0.011111111111111112
411_1834	2	0.09782608695652174
412_1834	2	0.030973451327433628
413_1834	2	0.005376344086021506
414_1834	2	0.06159420289855073
415_1834	2	0.008108108108108109
416_1834	2	0.12301587301587301
417_1834	2	0.004464285714285714
418_1834	2	0.004672897196261682
419_1834	2	0.02727272727272727
42_1822	2	0.06
420_1827	2	0.057692307692307696
421_1835	2	0.04718875502008032
422_1821	2	0.019313304721030045
423_1821	2	0.010158013544018058
424_1821	2	0.004325259515570935
425_1826	2	0.009615384615384616
426_1827	2	0.004464285714285714
428_1825	2	0.010460251046025104
429_1826	2	0.03237410071942446
43_1822	2	0.013089005235602094
430_1826	2	0.045081967213114756
431_1829	2	0.014563106796116505
432_1830	2	0.1357142857142857
433_1821	2	0.04054054054054054
434_1830	2	0.011811023622047244
435_1830	2	0.00684931506849315
436_1830	2	0.0058823529411764705
437_1830	2	0.004792332268370607
438_1830	2	0.017361111111111112
439_1825	2	0.06764705882352941
44_1823	2	0.023035230352303523
440_1828	2	0.09574468085106383
441_1824	2	0.0025906735751295338
442_1825	2	0.023809523809523808
443_1826	2	0.004545454545454545
444_1826	2	0.10365853658536585
445_1826	2	0.00909090909090909
446_1827	2	0.019230769230769232
447_1827	2	0.04794520547945205
448_1827	2	0.0020161290322580645
449_1827	2	0.07608695652173914
45_1823	2	0.0037593984962406013
450_1827	2	0.0390625
451_1829	2	0.015952597994530537
452_1829	2	0.05089820359281437
453_1829	2	0.014285714285714285
454_1830	2	0.006696428571428571
455_1830	2	0.23314606741573032
456_1831	2	0.15140845070422534
457_1830	2	0.5268361581920904
458_1822	2	0.005319148936170213
459_1822	2	0.03205128205128205
460_1822	2	0.22121212121212122
461_1822	2	0.02631578947368421
462_1822	2	0.18382352941176472
463_1823	2	0.03431372549019608
464_1823	2	0.004098360655737705
465_1823	2	0.16463414634146342
466_1823	2	0.004166666666666667
467_1825	2	0.008771929824561403
47_1821	2	0.0018726591760299626
49_1821	2	0.00980392156862745
497_1827	2	0.001937984496124031
5_1819	2	0.007530120481927711
50_1822	2	0.005319148936170213
51_1822	2	0.003
516_1832	2	0.16153846153846155
517_1833	2	0.009505703422053232
53_1822	2	0.004629629629629629
55_1821	2	0.00625
56_1821	2	0.06785714285714285
564_1823	2	0.003125
567_1835	2	0.32142857142857145
568_1835	2	0.06481481481481481
569_1835	2	0.01485148514851485
57_1821	2	0.02252252252252252
570_1833	2	0.25721153846153844
58_1823	2	0.00487012987012987
581_1827	2	0.00909090909090909
582_1827	2	0.028225806451612902
583_1827	2	0.0020408163265306124
584_1827	2	0.0028089887640449437
585_1827	2	0.010638297872340425
586_1827	2	0.032663316582914576
59_1823	2	0.0025380710659898475
598_1834	2	0.46124031007751937
599_1835	2	0.014563106796116505
6_1819	2	0.08333333333333333
600_1835	2	0.19985358711566617
601_1829	2	0.006493506493506494
602_1829	2	0.05421686746987952
61_1822	2	0.0018587360594795538
612_1827	2	0.006756756756756757
615_1827	2	0.04861111111111111
62_1822	2	0.0473568281938326
63_1823	2	0.024822695035460994
64_1823	2	0.0025906735751295338
65_1823	2	0.0056179775280898875
66_1823	2	0.005172413793103448
67_1823	2	0.024429967426710098
69_1825	2	0.1806930693069307
7_1819	2	0.009259259259259259
70_1825	2	0.00641025641025641
71_1825	2	0.02586206896551724
75_1821	2	0.04326923076923077
77_1821	2	0.0514018691588785
8_1820	2	0.007987220447284345
80_1824	2	0.00267379679144385
82_1824	2	0.004901960784313725
83_1824	2	0.0078125
84_1824	2	0.0942622950819672
85_1824	2	0.0026041666666666665
86_1824	2	0.026717557251908396
87_1824	2	0.0022624434389140274
88_1824	2	0.007317073170731708
89_1824	2	0.007042253521126761
9_1820	2	0.008333333333333333
90_1825	2	0.0029940119760479044
91_1825	2	0.005952380952380952
92_1826	2	0.011312217194570135
93_1826	2	0.009615384615384616
94_1826	2	0.00684931506849315
95_1826	2	0.02631578947368421
96_1826	2	0.05625
97_1824	2	0.0034965034965034965
98_1824	2	0.01152073732718894
99_1824	2	0.06932773109243698
1_1818	3	0.03231292517006803
10_1820	3	0.027777777777777776
100_1825	3	0.020833333333333332
101_1825	3	0.011363636363636364
102_1825	3	0.013888888888888888
103_1825	3	0.036585365853658534
104_1825	3	0.016129032258064516
105_1826	3	0.006756756756756757
11_1820	3	0.034375
112_1824	3	0.15
113_1824	3	0.010869565217391304
114_1824	3	0.1109375
115_1824	3	0.00211864406779661
116_1824	3	0.005154639175257732
117_1827	3	0.007352941176470588
119_1826	3	0.12096774193548387
12_1820	3	0.0012376237623762376
120_1826	3	0.0021645021645021645
121_1826	3	0.011904761904761904
122_1824	3	0.018072289156626505
123_1824	3	0.015463917525773196
124_1824	3	0.0028735632183908046
127_1830	3	0.03571428571428571
128_1830	3	0.01948051948051948
129_1829	3	0.0015479876160990713
13_1820	3	0.46855345911949686
130_1834	3	0.015625
131_1827	3	0.03987730061349693
132_1827	3	0.004545454545454545
133_1828	3	0.11413043478260869
134_1830	3	0.08653846153846154
135_1830	3	0.016129032258064516
136_1830	3	0.007692307692307693
137_1830	3	0.00980392156862745
138_1826	3	0.09375
139_1826	3	0.03684210526315789
14_1820	3	0.04929577464788732
142_1826	3	0.006726457399103139
143_1826	3	0.00847457627118644
146_1825	3	0.01050420168067227
147_1825	3	0.006944444444444444
148_1825	3	0.003105590062111801
149_1825	3	0.15333333333333332
15_1820	3	0.013761467889908258
150_1825	3	0.018292682926829267
152_1815	3	0.02783964365256125
154_1815	3	0.043209876543209874
155_1816	3	0.041666666666666664
156_1826	3	0.03197674418604651
157_1826	3	0.008771929824561403
16_1820	3	0.06465517241379311
